# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
NonBlockingReadAction.failedExecutionsCount,1776452327834000000,1776452335812000000,0
FlushQueue.queueSizeMax,1776452327834000000,1776452335812000000,0
AWTEventQueue.dispatchTimeTotalNS,1776452327834000000,1776452335812000000,7277322112
FlushQueue.waitingTime90PNs,1776452327834000000,1776452335812000000,0
FlushQueue.waitingTimeMaxNs,1776452327834000000,1776452335812000000,0
ReadAction.executionsCount,1776452327834000000,1776452335812000000,50135
FlushQueue.executionTime90PNs,1776452327834000000,1776452335812000000,0
FlushQueue.waitingTimeAvgNs,1776452327834000000,1776452335812000000,0.0
WriteAction.executionsCount,1776452327834000000,1776452335812000000,1
FlushQueue.queueSizeAvg,1776452327834000000,1776452335812000000,0.0
FlushQueue.queueSize90P,1776452327834000000,1776452335812000000,0
AWTEventQueue.dispatchTimeAvgNs,1776452327834000000,1776452335812000000,0.0
NonBlockingReadAction.failedExecutionTimeUs,1776452327834000000,1776452335812000000,0
NonBlockingReadAction.finalizedExecutionsCount,1776452327834000000,1776452335812000000,15
AWTEventQueue.dispatchTimeMaxNs,1776452327834000000,1776452335812000000,0
AWTEventQueue.dispatchTime90PNs,1776452327834000000,1776452335812000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1776452327834000000,1776452335812000000,20930
FlushQueue.executionTimeMaxNs,1776452327834000000,1776452335812000000,0
FlushQueue.tasksExecuted,1776452327834000000,1776452335812000000,0
AWTEventQueue.eventsDispatched,1776452327834000000,1776452335812000000,0
FlushQueue.executionTimeAvgNs,1776452327834000000,1776452335812000000,0.0
VFS.fileByIdCache.misses,1776452327834000000,1776452335812000000,0
VFS.fileByIdCache.hits,1776452327834000000,1776452335812000000,0
VFS.fileChildByName,1776452327834000000,1776452335812000000,13
VFS.invertedFileNameIndex.requests,1776452327834000000,1776452335812000000,0
cacheStateStorage.get.counter,1776452327834000000,1776452335812000000,11
cacheStateStorage.set.counter,1776452327834000000,1776452335812000000,0
cacheStateStorage.get.duration,1776452327834000000,1776452335812000000,0
cacheStateStorage.set.duration,1776452327834000000,1776452335812000000,0
DirectByteBufferAllocator.hits,1776452327834000000,1776452335812000000,4
FilePageCacheLockFree.totalNativeBytesReclaimed,1776452327834000000,1776452335812000000,0
FilePageCache.pageLoads,1776452327834000000,1776452335812000000,197
FilePageCacheLockFree.housekeeperTurnsDone,1776452327834000000,1776452335812000000,0
FilePageCacheLockFree.totalPagesHandedOver,1776452327834000000,1776452335812000000,0
MappedFileStorage.storages,1776452327834000000,1776452335812000000,0
FilePageCacheLockFree.totalPagesRequested,1776452327834000000,1776452335812000000,0
FilePageCacheLockFree.nativeBytesInUse,1776452327834000000,1776452335812000000,0
DirectByteBufferAllocator.reclaimed,1776452327834000000,1776452335812000000,44
FilePageCacheLockFree.totalPagesReclaimed,1776452327834000000,1776452335812000000,0
StorageLockContext.competingThreads.avg,1776452327834000000,1776452335812000000,0.0
FilePageCacheLockFree.totalPagesAllocated,1776452327834000000,1776452335812000000,0
FilePageCache.totalPageDisposalsUs,1776452327834000000,1776452335812000000,970
MappedFileStorage.totalBytesMapped,1776452327834000000,1776452335812000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1776452327834000000,1776452335812000000,0
FilePageCache.capacityInBytes,1776452327834000000,1776452335812000000,503316478
FilePageCacheLockFree.totalPagesRequestsMs,1776452327834000000,1776452335812000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1776452327834000000,1776452335812000000,0
FilePageCache.pageFastCacheHits,1776452327834000000,1776452335812000000,13596
StorageLockContext.competingThreads.90P,1776452327834000000,1776452335812000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1776452327834000000,1776452335812000000,0
DirectByteBufferAllocator.disposed,1776452327834000000,1776452335812000000,153
FilePageCache.pageHits,1776452327834000000,1776452335812000000,0
FilePageCacheLockFree.housekeeperTimeSpentMs,1776452327834000000,1776452335812000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1776452327834000000,1776452335812000000,41943040
FilePageCache.pageLoadsAboveSizeThreshold,1776452327834000000,1776452335812000000,0
MappedFileStorage.totalPagesMapped,1776452327834000000,1776452335812000000,0
FilePageCacheLockFree.totalClosedStoragesReclaimed,1776452327834000000,1776452335812000000,0
FilePageCache.uncachedFileAccess,1776452327834000000,1776452335812000000,332
FilePageCacheLockFree.totalPageAllocationsWaited,1776452327834000000,1776452335812000000,0
FilePageCacheLockFree.totalPagesReadMs,1776452327834000000,1776452335812000000,0
FilePageCache.maxRegisteredFiles,1776452327834000000,1776452335812000000,537
FilePageCacheLockFree.totalBytesRequested,1776452327834000000,1776452335812000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1776452327834000000,1776452335812000000,41943040
FilePageCacheLockFree.totalPagesWritten,1776452327834000000,1776452335812000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1776452327834000000,1776452335812000000,0
FilePageCache.maxCacheSizeInBytes,1776452327834000000,1776452335812000000,202375168
FilePageCacheLockFree.totalPagesWriteMs,1776452327834000000,1776452335812000000,0
FilePageCacheLockFree.totalBytesWritten,1776452327834000000,1776452335812000000,0
FilePageCacheLockFree.totalBytesRead,1776452327834000000,1776452335812000000,0
FilePageCache.disposedBuffers,1776452327834000000,1776452335812000000,197
StorageLockContext.competingThreads.max,1776452327834000000,1776452335812000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1776452327834000000,1776452335812000000,7415493
FilePageCacheLockFree.heapBytesInUse,1776452327834000000,1776452335812000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1776452327834000000,1776452335812000000,0
DirectByteBufferAllocator.misses,1776452327834000000,1776452335812000000,193
FilePageCache.totalPageLoadsUs,1776452327834000000,1776452335812000000,52679
writeAction.max.wait.ms,1776452327834000000,1776452335812000000,0
writeAction.median.wait.ms,1776452327834000000,1776452335812000000,0
writeAction.wait.ms,1776452327834000000,1776452335812000000,0
writeAction.count,1776452327834000000,1776452335812000000,1
workspaceModel.mutableEntityStorage.entities.ms,1776452327834000000,1776452335812000000,0
jps.global.get.libraries.ms,1776452327834000000,1776452335812000000,0
workspaceModel.mutableEntityStorage.put.entity.ms,1776452327834000000,1776452335812000000,0
workspaceModel.mutableEntityStorage.entities.by.source.ms,1776452327834000000,1776452335812000000,0
jps.global.handle.changed.events.ms,1776452327834000000,1776452335812000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1776452327834000000,1776452335812000000,0
workspaceModel.global.updates.ms,1776452327834000000,1776452335812000000,0
jps.global.initialize.library.bridges.ms,1776452327834000000,1776452335812000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1776452327834000000,1776452335812000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1776452327834000000,1776452335812000000,0
jps.app.storage.content.reader.load.component.ms,1776452327834000000,1776452335812000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1776452327834000000,1776452335812000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1776452327834000000,1776452335812000000,0
jps.global.get.library.by.name.ms,1776452327834000000,1776452335812000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1776452327834000000,1776452335812000000,0
jps.load.initial.state.ms,1776452327834000000,1776452335812000000,6
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1776452327834000000,1776452335812000000,0
workspaceModel.load.cache.from.file.ms,1776452327834000000,1776452335812000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1776452327834000000,1776452335812000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1776452327834000000,1776452335812000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1776452327834000000,1776452335812000000,0
workspaceModel.do.save.caches.ms,1776452327834000000,1776452335812000000,0
workspaceModel.global.apply.state.to.project.builder.ms,1776452327834000000,1776452335812000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1776452327834000000,1776452335812000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1776452327834000000,1776452335812000000,0
jps.save.global.entities.ms,1776452327834000000,1776452335812000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1776452327834000000,1776452335812000000,0
workspaceModel.global.apply.state.to.project.ms,1776452327834000000,1776452335812000000,0
workspaceModel.global.updates.count,1776452327834000000,1776452335812000000,0
workspaceModel.mutableEntityStorage.add.entity.ms,1776452327834000000,1776452335812000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1776452327834000000,1776452335812000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1776452327834000000,1776452335812000000,0
workspaceModel.mutableEntityStorage.instances.count,1776452327834000000,1776452335812000000,3
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1776452327834000000,1776452335812000000,0
jps.library.entities.serializer.load.entities.ms,1776452327834000000,1776452335812000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1776452327834000000,1776452335812000000,0
workspaceModel.moduleManagerBridge.load.module.ms,1776452327834000000,1776452335812000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1776452327834000000,1776452335812000000,0
workspaceModel.load.cache.metadata.from.file.ms,1776452327834000000,1776452335812000000,0
jps.global.handle.before.change.events.ms,1776452327834000000,1776452335812000000,0
jps.library.entities.serializer.save.entities.ms,1776452327834000000,1776452335812000000,0
jps.global.initialize.library.bridges.after.loading.ms,1776452327834000000,1776452335812000000,0
workspaceModel.sync.entities.ms,1776452327834000000,1776452335812000000,0
jps.global.get.library.ms,1776452327834000000,1776452335812000000,0
workspaceModel.save.cache.to.file.ms,1776452327834000000,1776452335812000000,0
workspaceModel.replace.project.model.ms,1776452327834000000,1776452335812000000,0
workspaceModel.cachedValue.clear.ms,1776452327834000000,1776452335812000000,0
workspaceModel.cachedValueWithParameters.from.cache.ms,1776452327834000000,1776452335812000000,0
workspaceModel.check.recursive.update.ms,1776452327834000000,1776452335812000000,0
workspaceModel.full.replace.project.model.ms,1776452327834000000,1776452335812000000,0
workspaceModel.initializing.ms,1776452327834000000,1776452335812000000,0
workspaceModel.collect.changes.ms,1776452327834000000,1776452335812000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1776452327834000000,1776452335812000000,3
workspaceModel.init.bridges.ms,1776452327834000000,1776452335812000000,0
workspaceModel.updates.ms,1776452327834000000,1776452335812000000,0
workspaceModel.to.snapshot.ms,1776452327834000000,1776452335812000000,0
workspaceModel.cachedValue.total.get.ms,1776452327834000000,1776452335812000000,0
workspaceModel.updates.count,1776452327834000000,1776452335812000000,0
workspaceModel.cachedValue.from.cache.ms,1776452327834000000,1776452335812000000,0
workspaceModel.loading.from.cache.ms,1776452327834000000,1776452335812000000,18
workspaceModel.cachedValueWithParameters.calculated.ms,1776452327834000000,1776452335812000000,0
workspaceModel.updates.precise.ms,1776452327834000000,1776452335812000000,0
workspaceModel.update.unloaded.entities.ms,1776452327834000000,1776452335812000000,0
workspaceModel.pre.handlers.ms,1776452327834000000,1776452335812000000,0
workspaceModel.cachedValue.calculated.ms,1776452327834000000,1776452335812000000,0
workspaceModel.loading.total.ms,1776452327834000000,1776452335812000000,22
